Currency,Notional,Amount,Note
HUF,20000,0,
HUF,10000,0,
HUF,5000,0,
HUF,2000,0,
HUF,1000,0,
HUF,500,3,
HUF,200,3,
HUF,100,8,
HUF,50,6,
HUF,20,11,
HUF,10,3,
HUF,5,3,
HUF,1,0,Vouchers
HUF,1,-213059,We don't know!!!
USD,100,0,
USD,50,2,
USD,20,1,
USD,10,0,
USD,5,0,
USD,2,0,
USD,1,2,
USD,0.5,0,
USD,0.25,3,quarter
USD,0.1,9,dime
USD,0.05,5,nickel
USD,0.01,12,penny
USD,1,0,Vouchers
USD,1,0,Gift cards
USD,1,0,We don't know!!!
EUR,20,1,
EUR,10,0,
EUR,5,0,
EUR,2,3,
EUR,1,1,
EUR,0.5,0,
EUR,0.2,0,
EUR,0.1,1,
EUR,0.05,1,
EUR,0.02,1,
EUR,0.01,0,
EUR,1,0,We don't know!!!