Type;Value;From;To
cash;Column;Title;Details
cash;Category;(Átvezetés);Withdrawal
cash;Account;Unicredit;Unicredit.Checking
capital_one;Column;Description;Details
capital_one;Column;Posted Date;Date
unicredit;Column;Tranzakció.részletek;Transaction
unicredit;Column;Érték.Dátum;Date
unicredit;Column;Összeg;Amount
unicredit;Column;Partner.Számlaszám;PartnerAccount
unicredit;Column;Számlaszám;Account
unicredit;Account;10918001-00000023-19880007;Unicredit.Checking
unicredit;Account;10918001-00000023-19880021;Unicredit.Savings1
unicredit;Account;10918001-00000023-19880045;Unicredit.Savings2
egeszsegpenztar;Column;Értéknap;Date
egeszsegpenztar;Column;Partner.név;Partner
egeszsegpenztar;Column;Jóváírás;Credit
egeszsegpenztar;Column;Fedezetre.jóváírás;CreditFinal
egeszsegpenztar;Column;Terhelés;Debit
egeszsegpenztar;Column;Jogcím;Type